name,lng,lat,address
书亦烧仙草(熊猫大道店),104.122324,30.728024,四川省成都市成华区将军碑东二路88号3栋107号
茶百道(财富又一城店),104.099516,30.683976,四川省成都市成华区前锋路1号附17号
书亦烧仙草(新华公园店),104.113467,30.663224,成都市成华区双林北支路105号附14号
书亦烧仙草(金堂华地财富广场店),104.405954,30.867049,四川省成都市金堂县金园街120号
蜜雪冰城(洛带古镇店),104.333343,30.643605,四川省成都市龙泉驿区下街194号
书亦烧仙草(成都东站店),104.149135,30.6352,四川省成都市成华区成都东站候车厅jd01号
书亦烧仙草(福地广场店),104.0737,30.766627,成都市新都区大丰镇大天路489号福地广场F1
书亦烧仙草(大润发店),103.65098,30.993819,四川省成都市都江堰市莲花南路1号大润发(都江堰店)F1
纳川咖啡奶茶原料工厂店,104.053864,30.700932,四川省成都市金牛区二环路北一段53号附6号
喜茶(SM广场店),104.118218,30.675445,成都市成华区二环路东二段29号SM广场F1层
书亦烧仙草(万达广场店),104.423638,30.859675,四川省成都市金堂县万泰街6号万达广场F4
丸摩堂鲜果茶(东郊记忆店),104.131832,30.675711,四川省成都市成华区圣灯路217号
优可奶茶(蛟龙港店),103.917519,30.621638,四川省成都市双流区高新大道37号
鑫成奶茶店,104.843908,30.523804,四川省成都市金堂县南华街80号
偶遇奶茶酷饮,103.960143,30.501754,四川省成都市双流区新居街150号
即刻唤醒咖啡,104.070112,30.641411,四川省成都市武侯区金陵横路77号
布丁奶茶屋,103.987024,30.412966,成都市双流区剑南大道南段翰林苑西侧约270米
三巷甜品饮品(川音店),104.18622,30.808697,四川省成都市新都区川音三巷162号
悦享奶茶,104.265772,30.580786,四川省成都市龙泉驿区双龙路488号8栋
都可茶饮(龙厢街店),104.128763,30.715824,四川成都市成华区龙厢街299号
叶小姐的奶茶铺和卤菜摊(华彩路店),104.181341,30.70105,四川省成都市成华区华彩路16号
KOI(成都悠方购物中心店),104.064212,30.589046,成都市武侯区高新区交子大道300号悠方购物中心B1层B100号商铺
一只酸奶牛(凯德来福士店),104.073996,30.637639,成都市武侯区人民南路四段3号成都来福士广场B2
辰惜奶茶店,103.985618,30.613973,成都市武侯区七里路505号
一杯奶茶,104.118162,30.705082,成华区青铁家园南1门旁
1 奶茶,104.044321,30.682673,四川省成都市金牛区抚琴西南路10号附15号
拾玖奶茶坊,103.818823,30.6979,四川省成都市温江区德全横街49号
YOYO奶茶,103.996636,30.555227,成都市双流区长城路二段金色校园广场
圆真真手作嚼感鲜茶(太古里店),104.087583,30.658062,四川省成都市锦江区南纱帽街57号
每粥奶茶店,104.094921,30.560844,四川省成都市双流区新兴街70
茶丸家彩虹弹珠奶茶(中国铁建186mall店),104.149014,30.686526,四川省成都市成华区东华一路47号中国铁建186mallF1
七港九饮品店(南兴巷店),103.889742,30.81,四川省成都市郫都区南兴巷127号
半岛奶茶店,104.122276,30.960749,四川省成都市彭州市妙景街5-7号
老地方奶茶,104.297302,30.689824,四川省成都市龙泉驿区育才街62号
兵之王(濛江东路店),104.121165,30.961249,四川省成都市彭州市濛江东路23号
逅逸奶茶,103.964868,30.643919,四川省成都市武侯区金兴北路307号
娇娇奶茶,103.734345,30.588503,成都市崇州市画江大道名阑商务酒店南侧约100米
巴菲奶茶,104.55843,30.407014,四川省成都市简阳市沱三桥东十字路口一期还房门市37号(近河东区简阳中学)
刚刚好奶茶,103.871712,30.816448,四川省成都市郫都区郫花路299号18栋10号
DADA奶茶,104.078045,30.654806,四川省成都市锦江区东府街36号
