,,,Culture,Culture,Services,Services
,,,Restaurants,Museums,Police,Schools
State,City,Street,,,,
MO1,Fisherborough3,244 Tracy View,A+,A,A-,A+
MO1,Fisherborough3,245 Tracy View,C+,F,D-,A+
MO1,Fisherborough3,246 Tracy View,C+,F,D-,A+
MO1,Fisherborough3,247 Tracy View,C+,F,D-,A+
MO1,Fisherborough3,248 Tracy View,C+,F,D-,A+
MO2,Fisherborough4,249 Tracy View,C+,F,D-,A+
MO2,Fisherborough4,250 Tracy View,C+,F,D-,A+
MO2,Fisherborough4,251 Tracy View,C+,F,D-,A+
MO2,Fisherborough4,252 Tracy View,C+,F,D-,A—
AR,Allisonland 124,Diaz Brooks,C-,A+,F,C+
GA,Amyburgh 941,Brian Ex,B,B,D-,C+
IA,Amyburgh 163,Heather,F,D,A+,A-
