名称,类别,客户数量,描述
移动信贷系统,信贷业务,16,宇信科技移动信贷系统主要是为了实现贷款贷前业务、贷中业务的线上进件和业务审批功能，建立完整的贷后管理作业流程系统与管理流程，同时根据交叉营销的建设思路开发新业务需求，满足客户经理一线营销的基本需求和相关管理人员的移动审批需求。移动信贷的建设旨在实现线上进件、审批和控制贷后风险等功能。在数据架构、流程体系、参数化配置等方面保证系统的健壮性、稳定性和扩展性。
农户预授信工具,信贷业务,16,宇信科技面向三农及小微信贷业务，以提高工作效率、管控信贷风险为出发点，构建的一套供银行信贷客户经理或前台营销人员进行农村市场客户营销时使用的客户采集工具系统，涵盖客户类型包括农户、自然人、个体工商户、小微企业主，帮助用户快速获取客户信息，提交贷款申请，并对客户信息进行定期追踪。客户信息采集工具由两部分组成，分别为渠道采集端和后台管理端，共同完成客户信息的数据采集和初步的数据分析（例如：预评级、预授信），为后续各个业务系统提供强有力的支撑。通过可配置的数据采集模板，规范采集标准，提升采集过程的便利性。
财务分析工具,信贷业务,16,宇信科技面向银行对公、小微业务授信流程风险管理，以有效防范风险为出发点，构建财务分析工具。将客户财务类数据进行标准化录入存储，并以此为基础进行财务分析应用、历史数据分析、中长期的财务预测、同业比较、财务表现比率分析，以协助用户对客户的历史财务情况和未来发展实力有较为准确的了解，为正确的信贷决策奠定客观的基础。
信用评级工具,信贷业务,16,宇信科技面向对公、零售、小微信贷业务，以提高银行信用风险管理能力为出发点，构建简洁易用的信用等级评价工具。评级对象涵盖企业客户、同业客户、事业单位、个人客户、农户全类型客户。系统通过对借款人或潜在客户的资本状况、经营能力、资本流动性、经营管理水平、行业的发展前景等进行综合评价，了解债务人还款能力、还款意愿及其违约的可能性，并进行量化的信用评级，帮助提高银行信贷质量，选择优质客户，降低不良贷款率，保证信贷资产的安全性、收益性。
供应链金融系统,信贷业务,16,"供应链金融系统是字信科技针对信贷业务中""供应链金融”这一细分领域构建的信贷系统。系统涵盖共3大类6小类的供应链金融业务，分别为：应收类（传统保理、池融资、反向保理）、预付类（预付质押融资、保兑仓）、存货类（动产质押），适用银行、类金融机构（金控集团）、产业链背景的金融公司/财务公司等银行及非银金融机构。系统致力于实现供应链业务相关群体（银行、核心企业、借款人、物流监管企业、交易市场、其他金融机构等）之间的信息流互通及全流程直通，提高产业链核心企业及其上下游企业的融资效率，降低金融机构的信贷风险及管理成本。"
信贷作业平台,信贷业务,16,信贷作业平台通过将统一授权体系和信贷作业前端从原信贷类系统中分离的模式设计，可解决传统信贷系统群架构下不同厂商系统的前后端耦合问题，以及业务人员在业务处理过程中需要频繁切换系统的问题，进而提升银行信用资产业务经营中客户经理作业效率、授信风险把控水平，加快决策效率。信贷作业平台将前台业务和后台操作彻底隔离，由此产生的直接结果就是服务的标准化、成本的降低及风险控制的加强。
统一授信系统,信贷业务,16,宇信科技基于商业银行授信管理的发展趋势，根据监管要求建设专业的统一授信管理系统作为授信管控的重要手段，发挥着防控信用风险、防止过度融资的重要作用。统一授信管理系统定位为全行集中、统一、标准的授信额度管控系统，将规范各级机构及业务条线对客户授信的作业流程，建设专业化的操作、支持和管理平台。统一授信管控系统可以实现单一法人客户、集团客户、同业客户以及零售客户授信额度以及限额的集中管理，同时支持授信管理从授前客户信息收集、客户评级、授信申请、审批到授中阶段的信用额度占用、维护，再到授后阶段授信变更、展期操作等相关功能，也可以满足在客户统一视图、额度限额以及集中度多维管理的客户定制化需求。
同业授信系统,信贷业务,16,"宇信科技面向商业银行构建符合统一授信管理要求的同业授信业务系统，覆盖同业年度授信、批量年检、类信贷业务额度登记，构建满足对类信贷业务穿透底层资产管理的同业授信业务系统。同业授信系统重点解决目前商业银行存在的""同业客户信息分散""、""额度管理手段缺乏信息化""等问题，通过构建包括客户管理、信用评级、授信管理、同业业务、风控管理的功能模块，搭建同业授信管理的整体框架，适合银行及其他金融机构对于同业授信的管理需求。"
网络信贷系统,信贷业务,16,宇信科技聚焦商业银行在后疫情数据经济时代下信贷业务数字化转型及零接触式信贷服务诉求，借助内外部大数据，通过客户360度画像实现精准营销，全渠道最大范围触达客户，实现自动化审批、额度及定价模型满足业务快捷高效自动化办理，全程零人工干预，构建全天侯响应的自助式在线融资处理平台。
小微信贷系统,信贷业务,16,宇信科技面向小微信贷业务、包含小微企业贷款及个人经营贷款，包含融资渠道进件、贷款审批和贷后管理的全生命周期风险管理。借鉴国有银行及股份行的先进实践，满足区域性中小银行小微信贷细分领域的信贷工厂模式、IPC模式、大数据风控多元业务模式的处理需求，提供融合小微网贷业务、小微传统业务线上化、在线小额供应链业务的多元业务处理平台。
